Point ID,area,equilibrium_x,equilibrium_y,equilibrium_z,lambda_equilibrium_x,lambda_equilibrium_y,lambda_equilibrium_z,lambda_stress_disp_xx,lambda_stress_disp_xy,lambda_stress_disp_xz,lambda_stress_disp_yy,lambda_stress_disp_yz,lambda_stress_disp_zz,Points_0,Points_1,Points_2,Points_Magnitude,pred_equilibrium_x,pred_equilibrium_y,pred_equilibrium_z,pred_stress_disp_xx,pred_stress_disp_xy,pred_stress_disp_xz,pred_stress_disp_yy,pred_stress_disp_yz,pred_stress_disp_zz,sdf,sigma_xx,sigma_xx__x,sigma_xy,sigma_xy__x,sigma_xy__y,sigma_xz,sigma_xz__x,sigma_xz__z,sigma_yy,sigma_yy__y,sigma_yz,sigma_yz__y,sigma_yz__z,sigma_zz,sigma_zz__z,stress_disp_xx,stress_disp_xy,stress_disp_xz,stress_disp_yy,stress_disp_yz,stress_disp_zz,true_equilibrium_x,true_equilibrium_y,true_equilibrium_z,true_stress_disp_xx,true_stress_disp_xy,true_stress_disp_xz,true_stress_disp_yy,true_stress_disp_yz,true_stress_disp_zz,u,u__x,u__y,u__z,v,v__x,v__y,v__z,w,w__x,w__y,w__z
0,0.000344161,-0.251486,0.163675,0.784635,0.0523944,0.0523944,0.0523944,0.0523944,0.0523944,0.0523944,0.0523944,0.0523944,0.0523944,0.917834,0.212447,0.0476056,0.943302,-0.251486,0.163675,0.784635,0.0433094,0.028164,-0.0032196,0.214873,-0.0617738,0.0451969,0.0523944,0.398837,-4.83947,-0.826593,3.68756,-2.5072,-0.486273,-5.41339,7.59816,-2.39261,4.4764,0.693304,2.85172,-8.32764,0.203037,1.77704,0.0433094,0.028164,-0.0032196,0.214873,-0.0617738,0.0451969,0,0,0,0,0,0,0,0,0,0.0467506,0.00392691,-0.00718095,1.00623,-0.00304939,-0.000803337,-0.0091725,-0.049126,-0.833493,-1.01112,0.0554413,0.00295735
1,0.000344161,0.0713596,0.00862296,0.173197,0.0162903,0.0162903,0.0162903,0.0162903,0.0162903,0.0162903,0.0162903,0.0162903,0.0162903,-0.0352606,0.98371,-0.0591624,0.986118,0.0713596,0.00862296,0.173197,0.000863552,0.0306438,0.171513,-0.0252752,0.0205011,-0.0286193,0.0162903,-11.8661,-8.0123,0.177191,0.220911,-11.2126,1.0463,-1.45051,19.1536,0.00164795,-0.00139023,0.00278772,0.775431,-0.228144,-0.0203457,0.501885,0.000863552,0.0306438,0.171513,-0.0252752,0.0205011,-0.0286193,0,0,0,0,0,0,0,0,0,-0.0218152,-0.0455518,-0.00375814,0.353709,0.00370298,0.00583649,0.0136563,-0.0684933,-0.0926947,-0.341531,0.0687262,0.0135296
2,0.000344161,-0.746264,-0.201733,3.36342,0.00825152,0.00825152,0.00825152,0.00825152,0.00825152,0.00825152,0.00825152,0.00825152,0.00825152,0.915677,-0.68779,0.0917485,1.14889,-0.746264,-0.201733,3.36342,-0.26021,0.306378,-0.0799561,0.260246,0.110022,0.249635,0.00825152,2.52909,-24.5223,1.24415,-9.53139,3.75737,-0.170735,0.228375,21.5112,-0.876811,-4.68286,-0.119069,-0.357932,14.416,0.1475,-3.23387,-0.26021,0.306378,-0.0799561,0.260246,0.110022,0.249635,0,0,0,0,0,0,0,0,0,0.08483,0.00897966,0.0104616,0.937211,0.00921699,0.00504371,-0.00544757,0.118085,-0.785255,-0.939718,-0.118175,-0.00037908
3,0.000344161,-0.0283775,-0.0766026,0.329175,0.0186111,0.0186111,0.0186111,0.0186111,0.0186111,0.0186111,0.0186111,0.0186111,0.0186111,-0.0243068,0.918891,-0.0813889,0.922809,-0.0283775,-0.0766026,0.329175,0.0878839,-0.0544098,0.00377655,-0.00281763,0.012732,-0.0419993,0.0186111,-16.6613,-11.3807,0.977152,1.52796,-5.56213,0.322848,-0.915004,16.9712,-0.0177023,0.515466,-0.0256338,0.593664,-1.96682,-0.0306723,-0.00783462,0.0878839,-0.0544098,0.00377655,-0.00281763,0.012732,-0.0419993,0,0,0,0,0,0,0,0,0,-0.0302755,-0.0636362,0.00186503,0.359593,0.00407468,0.00736239,0.0191281,-0.0539358,-0.100851,-0.356327,0.0538068,0.0188673
4,0.000344161,0.482235,0.416034,1.82481,0.0203832,0.0203832,0.0203832,0.0203832,0.0203832,0.0203832,0.0203832,0.0203832,0.0203832,0.824765,-0.616966,-0.0796168,1.03306,0.482235,0.416034,1.82481,0.0636766,-0.150602,-0.0629654,-0.0190612,0.0560303,0.069026,0.0203832,-4.10089,21.4746,-1.8916,4.31137,-3.64163,-0.377533,-0.14355,-18.3152,0.63326,3.54767,-0.18675,-0.353412,-8.27507,-0.0884654,-1.32785,0.0636766,-0.150602,-0.0629654,-0.0190612,0.0560303,0.069026,0,0,0,0,0,0,0,0,0,-0.074253,-0.016214,-0.0112014,0.929551,-0.00906659,-0.00922063,0.00704305,0.10157,-0.707907,-0.933956,-0.102877,0.00387486
5,0.000344161,0.700369,-0.610041,1.65069,0.0223591,0.0223591,0.0223591,0.0223591,0.0223591,0.0223591,0.0223591,0.0223591,0.0223591,0.9292,0.478486,-0.0776409,1.04804,0.700369,-0.610041,1.65069,0.244506,0.146566,0.0175705,0.076196,0.0276203,-0.0368831,0.0223591,-1.49523,20.1034,1.46589,-11.297,-1.48197,-0.400714,-1.10847,-19.3218,1.86415,-6.16685,0.376584,-0.358594,18.0739,-0.0998994,-0.183629,0.244506,0.146566,0.0175705,0.076196,0.0276203,-0.0368831,0,0,0,0,0,0,0,0,0,-0.0757197,-0.00689153,0.0133121,0.967804,0.00650691,0.00281249,0.00906384,-0.0980002,-0.823022,-0.971635,0.102042,-0.0013218
6,0.000344161,-0.0665532,0.0427408,-0.00699592,0.0843806,0.0843806,0.0843806,0.0843806,0.0843806,0.0843806,0.0843806,0.0843806,0.0843806,-0.629312,-0.399352,0.0156194,0.745493,-0.0665532,0.0427408,-0.00699592,0.0132204,-0.0116879,0.0235624,0.00847622,-0.00189811,-0.0180092,0.0843806,0.605953,0.870393,-0.245128,-1.53388,0.140633,-0.101683,-3.8606,-0.944473,0.166294,-0.0937112,-0.36985,0.773881,1.58485,0.0470514,3.09372,0.0132204,-0.0116879,0.0235624,0.00847622,-0.00189811,-0.0180092,0,0,0,0,0,0,0,0,0,-0.000198692,0.00214627,-0.00135859,0.0227941,-0.000505442,-0.00120957,-7.57471e-05,-0.00897401,-0.00122069,-0.0235753,0.00525652,-0.000804387
7,0.000344161,-0.0852223,0.000309348,0.102579,0.0705221,0.0705221,0.0705221,0.0705221,0.0705221,0.0705221,0.0705221,0.0705221,0.0705221,-0.272182,-0.69741,0.0294779,0.749222,-0.0852223,0.000309348,0.102579,0.0499817,-0.0121555,0.0132828,0.0332615,0.00425881,0.026575,0.0705221,4.15392,6.47964,-0.47284,-1.37946,-6.71963,0.0069827,-5.36654,0.325215,-0.118919,2.30552,0.0741758,4.94531,-0.926365,0.0147776,0.31865,0.0499817,-0.0121555,0.0132828,0.0332615,0.00425881,0.026575,0,0,0,0,0,0,0,0,0,0.00486213,0.01622,-0.00441759,0.184334,-0.000637734,-0.000432368,-0.00522782,-0.00488774,-0.03783,-0.184132,0.00567208,-0.00459277
8,0.000344161,0.0182781,-0.0194677,0.0637976,0.0533586,0.0533586,0.0533586,0.0533586,0.0533586,0.0533586,0.0533586,0.0533586,0.0533586,-0.34034,-0.87233,-0.0466414,0.937532,0.0182781,-0.0194677,0.0637976,0.0175799,0.0188614,0.00917244,0.0101941,0.00518036,0.00703645,0.0533586,-6.35695,-10.8727,-0.260875,-0.183713,1.99965,0.76467,0.320084,8.85479,0.103195,1.23679,-0.0882214,-0.593333,-1.03361,-0.00454885,0.209451,0.0175799,0.0188614,0.00917244,0.0101941,0.00518036,0.00703645,0,0,0,0,0,0,0,0,0,-0.00781607,-0.0245159,-8.66175e-05,0.153042,-0.00167009,-0.00233352,0.0077479,0.025934,-0.0245576,-0.145304,-0.0267644,0.00719339
9,0.000344161,-0.0298548,0.183858,1.27227,0.030307,0.030307,0.030307,0.030307,0.030307,0.030307,0.030307,0.030307,0.030307,0.906994,0.199888,0.069693,0.93137,-0.0298548,0.183858,1.27227,0.00794595,0.0535982,-0.00344086,0.338882,-0.0527616,0.0161847,0.030307,0.728458,-3.14985,-1.25429,2.04337,-4.6009,-0.240232,-3.20275,7.78061,-3.67479,7.35482,0.37312,1.95931,-9.58205,0.224961,-0.028831,0.00794595,0.0535982,-0.00344086,0.338882,-0.0527616,0.0161847,0,0,0,0,0,0,0,0,0,0.0690542,0.00640321,-0.0102693,1.00846,-0.00396069,-0.0017376,-0.0139584,-0.0476435,-0.823125,-1.0109,0.0508471,0.00392692
