Point ID,area,equilibrium_x,equilibrium_y,equilibrium_z,lambda_equilibrium_x,lambda_equilibrium_y,lambda_equilibrium_z,lambda_stress_disp_xx,lambda_stress_disp_xy,lambda_stress_disp_xz,lambda_stress_disp_yy,lambda_stress_disp_yz,lambda_stress_disp_zz,Points_0,Points_1,Points_2,Points_Magnitude,pred_equilibrium_x,pred_equilibrium_y,pred_equilibrium_z,pred_stress_disp_xx,pred_stress_disp_xy,pred_stress_disp_xz,pred_stress_disp_yy,pred_stress_disp_yz,pred_stress_disp_zz,sdf,sigma_xx,sigma_xx__x,sigma_xy,sigma_xy__x,sigma_xy__y,sigma_xz,sigma_xz__x,sigma_xz__z,sigma_yy,sigma_yy__y,sigma_yz,sigma_yz__y,sigma_yz__z,sigma_zz,sigma_zz__z,stress_disp_xx,stress_disp_xy,stress_disp_xz,stress_disp_yy,stress_disp_yz,stress_disp_zz,true_equilibrium_x,true_equilibrium_y,true_equilibrium_z,true_stress_disp_xx,true_stress_disp_xy,true_stress_disp_xz,true_stress_disp_yy,true_stress_disp_yz,true_stress_disp_zz,u,u__x,u__y,u__z,v,v__x,v__y,v__z,w,w__x,w__y,w__z
0,0.00051179,0.00226475,0.0042591,-0.000279032,0.124398,0.124398,0.124398,0.124398,0.124398,0.124398,0.124398,0.124398,0.124398,-0.874398,-0.0767733,0.600807,1.06369,0.00226475,0.0042591,-0.000279032,-0.0039648,0.000164143,0.000205595,0.00292289,-0.000103671,0.00314871,0.124398,0.00177099,-0.020472,-0.000157826,0.00804146,-8.01484e-05,-0.00177953,0.0294641,0.0182874,-0.000138657,-0.00164253,-0.000376381,-0.000455918,-0.010658,0.00378857,-0.0287292,-0.0039648,0.000164143,0.000205595,0.00292289,-0.000103671,0.00314871,0,0,0,0,0,0,0,0,0,-0.000626855,-1.96549e-05,-5.85473e-05,-0.00020061,-0.000339234,5.86105e-05,5.23537e-06,2.68219e-05,0.000318065,0.000184871,-3.16224e-05,2.60006e-05
1,0.00051179,0.0229303,-0.00465762,-0.0193426,0.0122369,0.0122369,0.0122369,0.0122369,0.0122369,0.0122369,0.0122369,0.0122369,0.0122369,-0.987763,-0.721188,0.597142,1.36102,0.0229303,-0.00465762,-0.0193426,0.00561676,0.00248888,-0.00546647,0.0097045,0.0179824,-0.000123963,0.0122369,0.00501467,-0.0415066,0.00181026,-0.0164387,-0.00642612,-0.00542385,0.0227863,0.0250025,0.00717594,0.0172322,-0.00157839,0.00809574,0.0038642,0.0047077,-0.0115395,0.00561676,0.00248888,-0.00546647,0.0097045,0.0179824,-0.000123963,0,0,0,0,0,0,0,0,0,-0.000459135,1.61238e-05,-0.00044413,-0.000371636,-0.000386143,0.000487122,4.73688e-05,5.61451e-05,0.000292622,0.000262732,0.000107895,-1.41147e-05
2,0.00051179,-0.0186431,0.00197068,-0.0406613,0.0620304,0.0620304,0.0620304,0.0620304,0.0620304,0.0620304,0.0620304,0.0620304,0.0620304,-0.93797,0.741253,-0.183918,1.20957,-0.0186431,0.00197068,-0.0406613,0.00287676,-0.00197158,0.030188,-0.0046531,-0.029864,-0.00622071,0.0620304,-0.394544,-1.54965,0.0482563,0.13206,0.38603,-0.0668032,-1.27445,1.18227,-0.0359489,0.185488,0.00227625,0.121703,-0.319519,0.0450607,1.19341,0.00287676,-0.00197158,0.030188,-0.0046531,-0.029864,-0.00622071,0,0,0,0,0,0,0,0,0,-0.000807233,-0.00150438,-0.000440822,-0.000200049,-0.000244582,0.000903669,0.000250947,-8.37191e-05,0.000299737,-0.000166104,-0.000192158,0.000648157
3,0.00051179,0.0103328,-0.00397561,-0.00442881,0.0510274,0.0510274,0.0510274,0.0510274,0.0510274,0.0510274,0.0510274,0.0510274,0.0510274,-0.801027,0.94575,0.501059,1.33684,0.0103328,-0.00397561,-0.00442881,0.00576395,-0.00562393,0.00305954,0.00987412,0.00861463,-0.00060003,0.0510274,0.00116582,0.00448993,-0.000846677,0.000440628,0.00631265,0.000389747,-0.040797,-0.0211354,-0.00420676,0.0320666,0.00173253,-0.0108445,-0.0285316,-0.00295373,0.0560703,0.00576395,-0.00562393,0.00305954,0.00987412,0.00861463,-0.00060003,0,0,0,0,0,0,0,0,0,-0.000326298,2.42142e-05,0.000463625,-0.000638739,-0.000397706,-0.000528331,1.79021e-05,0.000193926,0.0003298,0.000673232,-9.04541e-05,-2.82035e-05
4,0.00051179,0.0439489,-0.0107952,-0.0371104,0.0459531,0.0459531,0.0459531,0.0459531,0.0459531,0.0459531,0.0459531,0.0459531,0.0459531,-0.795953,-0.210275,0.0372143,0.824101,0.0439489,-0.0107952,-0.0371104,0.00515658,0.00269448,-0.0129603,-0.00761683,-0.00201417,-0.0077363,0.0459531,0.23287,1.74727,-0.0970855,-1.25747,0.47365,0.216921,0.794258,-2.26487,0.121849,-0.135812,-0.116761,0.416698,1.40408,-0.0600233,-1.17384,0.00515658,0.00269448,-0.0129603,-0.00761683,-0.00201417,-0.0077363,0,0,0,0,0,0,0,0,0,-0.000445522,0.000861863,-0.000514312,0.0025993,-0.00040623,-0.000429598,0.000242893,-0.00115433,0.000410959,-0.000559689,-3.34215e-05,-0.000667066
5,0.00051179,-0.00150044,0.00603956,-0.000230258,0.0303873,0.0303873,0.0303873,0.0303873,0.0303873,0.0303873,0.0303873,0.0303873,0.0303873,-0.969613,-0.781787,-0.745072,1.45137,-0.00150044,0.00603956,-0.000230258,7.69797e-05,-0.00160439,0.00181442,-0.00526154,0.0129372,0.00218943,0.0303873,0.000300363,0.0165355,-0.00161179,0.00621856,-0.00358975,0.00124639,-0.000557896,-0.0114453,-0.00104019,-0.00184272,-0.00106528,-0.000885289,-0.0104154,-0.00205167,0.00167344,7.69797e-05,-0.00160439,0.00181442,-0.00526154,0.0129372,0.00218943,0,0,0,0,0,0,0,0,0,-0.000518329,8.5636e-06,0.000365888,-0.000465651,-0.000277096,-0.00039805,-2.48318e-05,-5.89662e-05,0.000270188,0.000496259,0.000177685,7.36569e-06
6,0.00051179,-0.0149408,-0.00667473,-0.00876257,0.033732,0.033732,0.033732,0.033732,0.033732,0.033732,0.033732,0.033732,0.033732,-0.966268,-0.567037,-0.47537,1.21704,-0.0149408,-0.00667473,-0.00876257,-0.00887699,-6.48201e-05,-0.00522042,-0.00191259,0.00318952,0.0136392,0.033732,-0.0218869,0.256691,-0.00224268,-0.00715857,0.0237551,-0.0220324,0.153182,-0.265505,-0.00835829,-0.0405219,-0.00353523,0.0225856,0.0543552,-0.0134924,-0.167005,-0.00887699,-6.48201e-05,-0.00522042,-0.00191259,0.00318952,0.0136392,0,0,0,0,0,0,0,0,0,-0.000543095,-0.000106641,0.000407512,-0.000361302,-0.000305379,-0.000430587,-4.17594e-06,-0.000102593,0.000313453,8.87743e-05,9.91364e-05,4.79126e-05
7,0.00051179,-0.00125718,-0.00319601,-0.00224347,0.0923652,0.0923652,0.0923652,0.0923652,0.0923652,0.0923652,0.0923652,0.0923652,0.0923652,-0.907635,0.829652,-0.608173,1.37186,-0.00125718,-0.00319601,-0.00224347,-0.00166057,-0.00227093,0.0020647,0.0001135,-0.00443763,-0.000817035,0.0923652,0.000231221,0.0215872,-0.00172835,0.0132598,0.00302289,-0.000929091,0.0138947,-0.023353,0.00221912,-0.0232802,0.00111239,0.00177637,0.0132165,-0.000419643,-0.0134276,-0.00166057,-0.00227093,0.0020647,0.0001135,-0.00443763,-0.000817035,0,0,0,0,0,0,0,0,0,-0.000606619,-6.76204e-06,-0.000451926,-0.000580162,-0.000289077,0.000411933,1.20478e-05,0.000135633,0.000268847,0.000591518,-0.000168886,-5.7987e-06
8,0.00051179,0.00631857,0.0379554,-0.00194359,0.0533277,0.0533277,0.0533277,0.0533277,0.0533277,0.0533277,0.0533277,0.0533277,0.0533277,-0.803328,0.0791288,0.289235,0.857469,0.00631857,0.0379554,-0.00194359,0.000210889,0.00184709,-0.00149742,0.00775054,-0.00981217,-0.00295238,0.0533277,0.00319923,-0.193023,0.00169922,-0.0334562,0.011379,-0.0125797,0.331824,0.175326,0.0303501,-0.0814619,-0.00751429,-0.0653256,0.0769628,0.0233753,-0.264555,0.000210889,0.00184709,-0.00149742,0.00775054,-0.00981217,-0.00295238,0,0,0,0,0,0,0,0,0,-0.000537328,-5.44113e-05,0.000107663,-0.000458143,-0.000336552,-7.22004e-05,0.000119041,-0.000110703,0.000321403,0.000317372,-6.25618e-05,3.06526e-05
9,0.00051179,0.0148363,0.008328,0.00121007,0.0275991,0.0275991,0.0275991,0.0275991,0.0275991,0.0275991,0.0275991,0.0275991,0.0275991,-0.972401,0.000940475,0.670222,1.181,0.0148363,0.008328,0.00121007,-0.00162644,0.000617064,0.000400459,0.00750622,-0.00184499,6.14987e-06,0.0275991,0.00253583,-0.0263185,-0.000494234,0.0110106,0.000147891,-0.00355011,0.0254708,0.0113343,0.00827507,0.000609066,0.000307257,-0.00192629,-0.0199476,0.0057078,-0.0247546,-0.00162644,0.000617064,0.000400459,0.00750622,-0.00184499,6.14987e-06,0,0,0,0,0,0,0,0,0,-0.000640802,-2.13045e-05,-6.13447e-06,-0.000204305,-0.000338579,7.36277e-06,5.3055e-05,1.66248e-05,0.000298791,0.000172809,-3.20021e-05,2.71825e-06
